DATE,H4-AI7202-02C.PV,H4-TIC7858.PV,H4-FIQ7865.PV,H4-PDI7732.PV
1/6/21 0:00,1.7247,152.1876,1093.7512,440.3001
1/6/21 0:01,1.7247,152.2219,1092.5457,455.734
1/6/21 0:02,1.7247,152.2206,1089.0845,456.3343
1/6/21 0:03,1.7247,152.2581,1097.2324,434.1887
1/6/21 0:04,1.7247,152.3956,1093.2267,439.726
1/6/21 0:05,1.7114,152.6184,1087.8049,442.5888
1/6/21 0:06,1.691,152.8246,1096.8331,446.9596
1/6/21 0:07,1.6908,153.0451,1093.1127,463.8847
1/6/21 0:08,1.6908,153.417,1097.0117,451.5388
1/6/21 0:09,1.6908,154.449,1118.095,437.4291
1/6/21 0:10,1.6908,156.3049,1119.7667,467.4904
1/6/21 0:11,1.6908,156.5799,1112.8791,458.3095
1/6/21 0:12,1.6908,154.5306,1121.3015,441.5611
1/6/21 0:13,1.6908,153.3146,1109.0141,457.8406
1/6/21 0:14,1.6908,152.7087,1095.5797,446.9424
1/6/21 0:15,1.6875,152.4325,1107.2311,416.5345
1/6/21 0:16,1.6825,152.3094,1108.5394,414.7177
1/6/21 0:17,1.6824,152.2272,1103.9905,432.7846
1/6/21 0:18,1.6824,152.1719,1114.2818,433.3867
1/6/21 0:19,1.6824,152.1009,1112.8564,456.4268
1/6/21 0:20,1.6824,152.002,1101.6535,461.9265
1/6/21 0:21,1.6824,151.9178,1109.5154,446.8668
1/6/21 0:22,1.6824,151.9035,1102.2952,438.1077
1/6/21 0:23,1.6824,151.9539,1097.4097,424.0313
1/6/21 0:24,1.6824,151.9906,1110.4623,429.7308
1/6/21 0:25,1.6847,152.0211,1107.1545,443.3764
1/6/21 0:26,1.6882,152.0437,1101.5651,447.8574
1/6/21 0:27,1.6882,152.0551,1109.0203,443.9918
1/6/21 0:28,1.6882,152.0764,1109.2889,434.6236
1/6/21 0:29,1.6882,152.1283,1107.511,426.9342
1/6/21 0:30,1.6882,152.1941,1111.3587,436.4663
1/6/21 0:31,1.6882,152.2006,1104.9648,447.2226
1/6/21 0:32,1.6882,152.1459,1103.4546,447.8352
1/6/21 0:33,1.6882,152.0624,1109.6686,438.9226
1/6/21 0:34,1.6882,152.0355,1104.6422,435.6371
1/6/21 0:35,1.6986,152.0548,1102.1578,429.7078
1/6/21 0:36,1.7147,152.1384,1109.1526,426.6668
1/6/21 0:37,1.7149,152.326,1102.19,437.2394
1/6/21 0:38,1.7149,152.4645,1093.7811,425.6167
1/6/21 0:39,1.7149,152.5657,1107.2421,426.5741
1/6/21 0:40,1.7149,152.6136,1105.3626,455.2215
1/6/21 0:41,1.7149,152.5872,1099.6514,443.7155
1/6/21 0:42,1.7149,152.4896,1107.5335,441.3917
1/6/21 0:43,1.7149,152.3601,1104.5606,420.1757
1/6/21 0:44,1.7149,152.2766,1098.6509,410.9446
1/6/21 0:45,1.7034,152.245,1111.1412,414.8688
1/6/21 0:46,1.6856,152.2458,1109.5541,415.7484
1/6/21 0:47,1.6854,152.2621,1108.2505,395.4031
1/6/21 0:48,1.6854,152.2641,1118.9656,387.199
1/6/21 0:49,1.6854,152.2412,1115.4938,377.5519
1/6/21 0:50,1.6854,152.2466,1107.1595,386.2964
1/6/21 0:51,1.6854,152.2705,1109.6663,390.6374
1/6/21 0:52,1.6854,152.3006,1106.5262,395.6047
1/6/21 0:53,1.6854,152.3565,1100.7707,396.7174
1/6/21 0:54,1.6854,152.4334,1109.7488,407.6026
1/6/21 0:55,1.6959,152.4973,1114.3038,404.0535
1/6/21 0:56,1.7124,152.5457,1115.856,394.4048
1/6/21 0:57,1.7126,152.6365,1120.8047,404.6248
1/6/21 0:58,1.7126,152.7504,1115.1639,424.8175
1/6/21 0:59,1.7126,152.9226,1110.0997,425.1623
1/6/21 1:00,1.7126,153.1919,1112.9238,405.2445
1/6/21 1:01,1.7126,153.5469,1107.9009,404.6278
1/6/21 1:02,1.7126,153.9583,1108.9046,406.9458
1/6/21 1:03,1.7126,154.027,1116.5555,410.68
1/6/21 1:04,1.7126,153.6074,1115.9191,411.838
1/6/21 1:05,1.7158,153.2402,1114.9428,409.4031
1/6/21 1:06,1.7209,152.9462,1115.2826,399.324
1/6/21 1:07,1.7209,152.7096,1106.48,434.3167
1/6/21 1:08,1.7209,152.5545,1107.4182,448.1225
1/6/21 1:09,1.7209,152.4372,1114.1048,453.3799
1/6/21 1:10,1.7209,152.3764,1114.503,455.633
1/6/21 1:11,1.7209,152.3531,1111.615,458.6481
1/6/21 1:12,1.7209,152.3671,1108.9295,443.1594
1/6/21 1:13,1.7209,152.3921,1109.3208,443.879
1/6/21 1:14,1.7209,152.3794,1114.2696,451.8141
1/6/21 1:15,1.7204,152.3318,1113.2563,459.5392
1/6/21 1:16,1.7195,152.2777,1105.0678,457.2405
1/6/21 1:17,1.7195,152.224,1106.1953,447.4141
1/6/21 1:18,1.7195,152.1783,1112.2153,444.3639
1/6/21 1:19,1.7195,152.1643,1108.3814,442.879
1/6/21 1:20,1.7195,152.1481,1111.0986,430.0875
1/6/21 1:21,1.7195,152.1137,1111.4228,427.5579
1/6/21 1:22,1.7195,152.0992,1105.47,437.3449
1/6/21 1:23,1.7195,152.1377,1107.7918,441.6479
1/6/21 1:24,1.7195,152.227,1112.7359,451.6973
1/6/21 1:25,1.7145,152.3233,1106.6671,447.6172
1/6/21 1:26,1.7065,152.3828,1101.2381,437.4859
1/6/21 1:27,1.7064,152.3863,1110.676,442.1312
1/6/21 1:28,1.7064,152.3284,1108.849,434.9717
1/6/21 1:29,1.7064,152.3064,1108.9673,419.8123
1/6/21 1:30,1.7064,152.3142,1113.0763,436.0203
1/6/21 1:31,1.7064,152.3317,1104.0326,442.8514
1/6/21 1:32,1.7064,152.3487,1105.8303,428.8297
1/6/21 1:33,1.7064,152.3488,1109.1216,444.7016
1/6/21 1:34,1.7064,152.3586,1100.1655,459.2719
1/6/21 1:35,1.7111,152.3787,1108.7976,447.2771
1/6/21 1:36,1.7185,152.3916,1125.1966,449.4695
1/6/21 1:37,1.7186,152.366,1114.0369,437.5767
1/6/21 1:38,1.7186,152.3306,1118.3401,436.1991
1/6/21 1:39,1.7186,152.3027,1111.6209,440.4481
1/6/21 1:40,1.7186,152.2647,1100.6904,445.9119
1/6/21 1:41,1.7186,152.2279,1115.358,440.0522
1/6/21 1:42,1.7186,152.2073,1111.7384,432.9033
1/6/21 1:43,1.7186,152.2079,1099.6174,421.0354
1/6/21 1:44,1.7186,152.2288,1114.3428,425.749
1/6/21 1:45,1.7219,152.2683,1124.5388,451.0336
1/6/21 1:46,1.7273,152.3276,1115.1281,448.7006
1/6/21 1:47,1.7274,152.3837,1118.1046,429.7651
1/6/21 1:48,1.7274,152.4071,1109.9415,437.0945
1/6/21 1:49,1.7274,152.4287,1109.8742,454.7613
1/6/21 1:50,1.7274,152.4836,1126.1304,448.3793
1/6/21 1:51,1.7274,152.5667,1120.511,446.9797
1/6/21 1:52,1.7274,152.6972,1110.2086,426.9053
1/6/21 1:53,1.7274,152.8925,1115.5434,428.2168
1/6/21 1:54,1.7274,153.2179,1115.3033,416.4932
1/6/21 1:55,1.7161,153.772,1112.1347,392.1848
1/6/21 1:56,1.698,154.1386,1125.0793,447.0942
1/6/21 1:57,1.6977,153.9703,1115.59,433.267
1/6/21 1:58,1.6977,153.4269,1097.8963,440.6237
1/6/21 1:59,1.6977,153.1428,1105.9113,464.0142
1/6/21 2:00,1.6977,152.9521,1112.7572,472.6619
1/6/21 2:01,1.6977,152.7638,1104.5522,430.0426
1/6/21 2:02,1.6977,152.6139,1103.6686,425.3126
1/6/21 2:03,1.6977,152.5082,1099.1663,441.8805
1/6/21 2:04,1.6977,152.4169,1090.6555,435.9391
1/6/21 2:05,1.6956,152.3614,1098.2507,429.9708
1/6/21 2:06,1.6921,152.3313,1105.177,432.9938
1/6/21 2:07,1.6921,152.3101,1104.544,438.6635
1/6/21 2:08,1.6921,152.3094,1102.7457,440.892
1/6/21 2:09,1.6921,152.2956,1104.6181,431.5891
1/6/21 2:10,1.6921,152.2865,1104.7474,420.6135
1/6/21 2:11,1.6921,152.2751,1110.263,418.2205
1/6/21 2:12,1.6921,152.2839,1100.5827,429.7777
1/6/21 2:13,1.6921,152.2794,1092.1072,429.0307
1/6/21 2:14,1.6921,152.2601,1102.2053,434.5147
1/6/21 2:15,1.702,152.2321,1102.7347,437.6454
1/6/21 2:16,1.7181,152.2056,1094.1583,437.9386
1/6/21 2:17,1.7183,152.187,1098.89,445.1509
1/6/21 2:18,1.7183,152.147,1102.2973,439.1199
1/6/21 2:19,1.7183,152.0953,1103.4446,422.9577
1/6/21 2:20,1.7183,152.0715,1113.173,419.0296
